ENGLISH CBF-Breaking Form: Creative Writing Workshop 002;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a3968e23e1ae305a3469c95a32a9f3b3caf7edb88abdfcfb4222fb6bfdf3adfdc00773e7c6056f8f5b28bc97777a7e15&ReportType=2&regl=en-US;12;4.13;8.00;Teju Cole;ENGLISH CBF;2019
HIND-URD 123-Bollywood and Beyond: Commercial Cinema, Language and Culture in South Asia 001;https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=60e068c3a5c1fdc00c1d75b0ae9c1ad84418ad6c1b5bd72cc26ec0a0c70fc8bf08bbfe10f4a6a3941d47b7c9f788044a&ReportType=2&regl=en-US;14;4.75;7.70;Richard Delacy;HIND-URD 123;2021
AFVS 166-North American Seacoasts and Landscapes, Discovery to Present: Seminar 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ae0ac285415f2738edda50fb061cb71b47aa4c9be397dd968d27df6aaba423093ee7596c7f6ee4529fcacc6e660e5333&ReportType=2&regl=en-US;5;5.00;3.00;John Stilgoe;AFVS 166;2020
HISTSCI 304A-History Beyond the Classroom: Foundational Discussions about Research 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=bc83536d86eefcb98cd16f493722b218ab2a523dfa2e9c323e332ae03af2cd4c432a018274b520f026111862f7bef25c&ReportType=2&regl=en-US;13;4.50;3.67;Peter Galison;HISTSCI 304A;2020
GENED 1158-Water and the Environment 001;https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=14efac94890a872c017e6bea5965d5d6dc76285d2525ec498c4bde334f1d274d17898fce3c9f9084f8ee4cbc6276a900&ReportType=2&regl=en-US;16;4.45;2.90;Kaighin McColl;GENED 1158;2021
BBS 230-Qualitative and Quantitative Analysis of the Biological Literature 001;https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e27a08172ab802e13694a22dc540b2712f4ba36136220b215f559838b2a988a8a680bc853e31b0fc2bb784cd0c3ee2de&ReportType=2&regl=en-US;53;3.75;7.09;Radhika Subramanian;BBS 230;2021
GENED 1036-Global Feminisms 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0e701cda78a22348a117803f6eef296d70677cfc303345796cbe924f2d739d1899e3bb827f7cd3d0f133e889f70a06b8&ReportType=2&regl=en-US;79;4.76;3.45;Durba Mitra;GENED 1036;2020
ECON 2725-Corporate Finance and Banking 1;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5067b633c2b6a5921f439f2eb8de5843f067686d71c7300bf4193f2a2c5be19a18cd72038af2045a26f4c5221d4869e8&ReportType=2&regl=en-US;12;4.43;8.17;Samuel Hanson;ECON 2725;2020
GENED 1015-Ethics of Climate Change 001;https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c9ce94d23ca123b48758291225aa68c22255cc885a024011a036312bcfdf4bb02a5fa79e7c6e2e2061581ad3a1e2dc0a&ReportType=2&regl=en-US;67;3.81;4.56;Lucas Stanczyk;GENED 1015;2021
GENED 1034-Texts in Transition 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=64dce05ec4c0f84213eec5e32514fcc988ea15ed8a7809e0b47db04d134a707df4b21b57f0e19e4c9eb81207361409e8&ReportType=2&regl=en-US;45;4.40;4.05;Ann Blair;GENED 1034;2020
